
TEST CASES
case	FI_Type	Coup_Freq	Ex_Date	Trade_Val	Trans	pairings
1	01	M	Y	T	B	10
2	01	Q	N	T+1	S	10
3	04	Q	Y	T	M	9
4	04	M	N	T+1	B	8
5	12	S	N	T	S	9
6	12	A	Y	T+1	M	9
7	19	S	N	T-1	M	9
8	19	A	Y	S	S	9
9	20	A	N	T-1	B	8
10	20	S	Y	S	B	7
11	22	M	Y	T-1	S	8
12	22	Q	N	S	M	7
13	01	M	N	S+1	M	6
14	04	Q	Y	S+1	B	5
15	04	S	~Y	T-1	S	3
16	12	A	~N	S+1	B	3
17	19	M	~Y	S+1	S	3
18	19	Q	~N	T	B	3
19	20	M	~Y	T+1	M	3
20	20	A	~N	T	S	3
21	22	S	~Y	T+1	B	4
22	01	S	~N	S	~M	2
23	01	Q	~Y	T-1	~S	2
24	04	A	~N	S	~S	2
25	12	M	~Y	S	~B	3
26	22	A	~N	S+1	~M	2
27	12	Q	~N	T-1	~M	2
28	20	Q	~Y	S+1	~S	2
29	01	S	~Y	S+1	~B	1
30	19	~A	~Y	T+1	~M	1
31	22	~M	~N	T	~S	1
32	01	A	~Y	~T	~M	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
Trade_Val	Trans	T+1	M	3	6, 19, 30
Trade_Val	Trans	T-1	B	1	9
Trade_Val	Trans	T-1	S	3	11, 15, 23
Trade_Val	Trans	T-1	M	2	7, 27
Trade_Val	Trans	S	B	2	10, 25
Trade_Val	Trans	S	S	2	8, 24
Trade_Val	Trans	S	M	2	12, 22
Trade_Val	Trans	S+1	B	3	14, 16, 29
Trade_Val	Trans	S+1	S	2	17, 28
Trade_Val	Trans	S+1	M	2	13, 26
Trade_Val	Ex_Date	T	Y	3	1, 3, 32
Trade_Val	Ex_Date	T	N	4	5, 18, 20, 31
Trade_Val	Ex_Date	T+1	Y	4	6, 19, 21, 30
Trade_Val	Ex_Date	T+1	N	2	2, 4
Trade_Val	Ex_Date	T-1	Y	3	11, 15, 23
Trade_Val	Ex_Date	T-1	N	3	7, 9, 27
Trade_Val	Ex_Date	S	Y	3	8, 10, 25
Trade_Val	Ex_Date	S	N	3	12, 22, 24
Trade_Val	Ex_Date	S+1	Y	4	14, 17, 28, 29
Trade_Val	Ex_Date	S+1	N	3	13, 16, 26
Coup_Freq	Trans	M	B	3	1, 4, 25
Coup_Freq	Trans	M	S	3	11, 17, 31
Coup_Freq	Trans	M	M	2	13, 19
Coup_Freq	Trans	Q	B	2	14, 18
Coup_Freq	Trans	Q	S	3	2, 23, 28
Coup_Freq	Trans	Q	M	3	3, 12, 27
Coup_Freq	Trans	S	B	3	10, 21, 29
Coup_Freq	Trans	S	S	2	5, 15
Coup_Freq	Trans	S	M	2	7, 22
Coup_Freq	Trans	A	B	2	9, 16
Coup_Freq	Trans	A	S	3	8, 20, 24
Coup_Freq	Trans	A	M	4	6, 26, 30, 32
Coup_Freq	Ex_Date	M	Y	5	1, 11, 17, 19, 25
Coup_Freq	Ex_Date	M	N	3	4, 13, 31
Coup_Freq	Ex_Date	Q	Y	4	3, 14, 23, 28
Coup_Freq	Ex_Date	Q	N	4	2, 12, 18, 27
Coup_Freq	Ex_Date	S	Y	4	10, 15, 21, 29
Coup_Freq	Ex_Date	S	N	3	5, 7, 22
Coup_Freq	Ex_Date	A	Y	4	6, 8, 30, 32
Coup_Freq	Ex_Date	A	N	5	9, 16, 20, 24, 26
Trans	Ex_Date	B	Y	6	1, 10, 14, 21, 25, 29
Trans	Ex_Date	B	N	4	4, 9, 16, 18
Trans	Ex_Date	S	Y	6	8, 11, 15, 17, 23, 28
Trans	Ex_Date	S	N	5	2, 5, 20, 24, 31
Trans	Ex_Date	M	Y	5	3, 6, 19, 30, 32
Trans	Ex_Date	M	N	6	7, 12, 13, 22, 26, 27
